Survey,date,Site,Plant observed,Plant family,Flower visitor ID,Flower visitor_order,Flower visitor_family,Visitation frequency,flower units observed per plant species,Flower abundance,total area_sampled_m2,Visitor_type 
2,December 2010,SC_A-vias,Oxypetalum solanoides,Apocynaceae,No visits,No visits,No visits,0,22,0.11,200,No visits
2,December 2010,SC_A-vias,Adesmia bicolor,Fabaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
2,December 2010,SC_A-vias,Ammi visnaga,Apiaceae,No visits,No visits,No visits,0,7,0.035,200,No visits
2,December 2010,SC_A-vias,Carduus acanthoides,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,SC_A-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,94,0.47,200,No visits
2,December 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,Allograpta exotica,Diptera,Syrphidae,1,309,1.545,200,Fly
2,December 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,Apis mellifera,Hymenoptera,Apidae,2,309,1.545,200,bee
2,December 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,Dialictus sp20,Hymenoptera,Halictidae,2,309,1.545,200,bee
2,December 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,Dialictus sp21,Hymenoptera,Halictidae,1,309,1.545,200,bee
2,December 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,Toxomerus sp,Diptera,Syrphidae,1,309,1.545,200,Fly
3,January 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Apis mellifera,Hymenoptera,Apidae,3,263,1.315,200,bee
3,January 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Pseudagapostemon pampeanus,Hymenoptera,Halictidae,1,263,1.315,200,bee
3,January 2011,SC_A-vias,Ammi visnaga,Apiaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
3,January 2011,SC_A-vias,Glycine max,Fabaceae,Apis mellifera,Hymenoptera,Apidae,3,17767,88.835,200,bee
3,January 2011,SC_A-vias,Hirschfeldia incana,Brassicaceae,Dialictus sp11,Hymenoptera,Halictidae,1,29,0.145,200,bee
3,January 2011,SC_A-vias,Hirschfeldia incana,Brassicaceae,Dialictus sp21,Hymenoptera,Halictidae,1,29,0.145,200,bee
4,february 2011,SC_A-vias,Glycine max,Fabaceae,Chrysomelidae sp1,Coleoptera,Chrysomelidae,1,3825,19.125,200,beetle
4,february 2011,SC_A-vias,Glycine max,Fabaceae,Chrysomelidae sp3,Coleoptera,Chrysomelidae,1,3825,19.125,200,beetle
4,february 2011,SC_A-vias,Ammi visnaga,Apiaceae,Chauliognatus scriptus,Coleoptera,Cantharidae,1,11,0.055,200,beetle
4,february 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Chauliognatus scriptus,Coleoptera,Cantharidae,15,589,2.945,200,beetle
4,february 2011,SC_A-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,35,0.175,200,No visits
4,february 2011,SC_A-vias,Adesmia bicolor,Fabaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,SC_A-vias,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Apis mellifera,Hymenoptera,Apidae,3,589,2.945,200,bee
4,february 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Pseudagapostemon pampeanus,Hymenoptera,Halictidae,1,589,2.945,200,bee
5,March 2011,SC_A-vias,Carduus acanthoides,Asteraceae,Apis mellifera,Hymenoptera,Apidae,1,15,0.075,200,bee
5,March 2011,SC_A-vias,Conyza bonariensis,Asteraceae,Entypus ferrugipennis,Hymenoptera,Pompilidae,2,45785,228.925,200,other
5,March 2011,SC_A-vias,Cirsium vulgare,Asteraceae,Apis mellifera,Hymenoptera,Apidae,2,8,0.04,200,bee
5,March 2011,SC_A-vias,Taraxacum oficinale,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
5,March 2011,SC_A-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
5,March 2011,SC_A-vias,Conyza bonariensis,Asteraceae,Chlorion sp,Hymenoptera,Sphecidae,1,45785,228.925,200,other
5,March 2011,SC_A-vias,Conyza bonariensis,Asteraceae,Polybia scutellaris,Hymenoptera,Vespidae,1,45785,228.925,200,other
5,March 2011,SC_A-vias,Cirsium vulgare,Asteraceae,Bombus bellicosus,Hymenoptera,Apidae,1,8,0.04,200,bee
5,March 2011,SC_A-vias,Cirsium vulgare,Asteraceae,Lerodea eufala,Lepidoptera,Hesperiidae,1,8,0.04,200,butterfly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Allograpta exotica,Diptera,Syrphidae,3,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Anthomyiidae sp1,Diptera,Anthomyiidae,1,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Anthomyiidae sp5,Diptera,Anthomyiidae,3,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Astylus quadrilineatus,Coleoptera,Melyridae,1,429,2.145,200,butterfly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Chrysomelidae sp2,Coleoptera,Chrysomelidae,3,429,2.145,200,butterfly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Curculionidae sp5,Coleoptera,Curculionidae,1,429,2.145,200,butterfly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Dilophus sp,Diptera,Bibionidae,1,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Limnophora sp,Diptera,Muscidae,4,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,1,429,2.145,200,Fly
1,November 2010,SC_C-leon,Conium maculatum,Apiaceae,Stratiomyiidae sp2 ,Diptera,Stratiomyiidae,1,429,2.145,200,Fly
1,November 2010,SC_C-leon,Geranium sp,Geraniaceae,Toxomerus sp,Diptera,Syrphidae,2,1682,8.41,200,Fly
1,November 2010,SC_C-leon,Hirschfeldia incana,Brassicaceae,Allograpta exotica,Diptera,Syrphidae,1,66,0.33,200,Fly
1,November 2010,SC_C-leon,Hirschfeldia incana,Brassicaceae,Dialictus sp13,Hymenoptera,Halictidae,2,66,0.33,200,bee
1,November 2010,SC_C-leon,Hirschfeldia incana,Brassicaceae,Toxomerus sp,Diptera,Syrphidae,1,66,0.33,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Allograpta exotica,Diptera,Syrphidae,4,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Anthomyiidae sp5,Diptera,Anthomyiidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Blaesoxipha (Acanthodotheca) sp,Diptera,Sarcophagidae,2,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Blaesoxipha (Tephromyia) sp2,Diptera,Sarcophagidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Cochliomyia macellaria,Diptera,Calliphoridae,7,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Diabrotica speciosa,Coleoptera,Chrysomelidae,1,1368,6.84,200,butterfly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Graphomya auriceps,Diptera,Muscidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Lygaeidae sp1,Hemiptera,Lygaeidae,1,1368,6.84,200,other
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Limnophora sp,Diptera,Muscidae,2,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Lispe sp,Diptera,Muscidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Oxysarcodexia paulistanensis,Diptera,Sarcophagidae,3,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Palpada elegans,Diptera,Syrphidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Phaenicia cluvia,Diptera,Calliphoridae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Polybia scutellaris,Hymenoptera,Vespidae,6,1368,6.84,200,other
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Sphiximorpha sp1,Diptera,Syrphidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Syrphus sp,Diptera,Syrphidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Tachinidae sp43,Diptera,Tachinidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Tachinidae sp47,Diptera,Tachinidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Conium maculatum,Apiaceae,Toxomerus sp,Diptera,Syrphidae,1,1368,6.84,200,Fly
2,December 2010,SC_C-leon,Carduus acanthoides,Asteraceae,Apis mellifera,Hymenoptera,Apidae,1,20,0.1,200,bee
2,December 2010,SC_C-leon,Carduus acanthoides,Asteraceae,Oxysarcodexia varia,Diptera,Sarcophagidae,1,20,0.1,200,Fly
2,December 2010,SC_C-leon,Physalis viscosa,Solanaceae,Colletes sp4,Hymenoptera,Colletidae,1,60,0.3,200,bee
2,December 2010,SC_C-leon,Geranium sp,Geraniaceae,No visits,No visits,No visits,0,374,1.87,200,No visits
2,December 2010,SC_C-leon,Viola arvensis,Violaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,SC_C-leon,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,18,0.09,200,No visits
2,December 2010,SC_C-leon,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
3,January 2011,SC_C-leon,Carduus acanthoides,Asteraceae,Melissodes tintinnas,Hymenoptera,Apidae,1,548,2.74,200,bee
3,January 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Pseudagapostemon pampeanus,Hymenoptera,Halictidae,1,140,0.7,200,bee
3,January 2011,SC_C-leon,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
3,January 2011,SC_C-leon,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
4,february 2011,SC_C-leon,Araujia angustifolia,Apocynaceae,No visits,No visits,No visits,0,26,0.13,200,No visits
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Coleoptera sp8,Coleoptera,Coleoptera,1,11504,57.52,200,beetle
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Lampyridae sp2,Coleoptera,Lampyridae,12,11504,57.52,200,beetle
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Oxysarcodexia varia,Diptera,Sarcophagidae,4,11504,57.52,200,Fly
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Polybia scutellaris,Hymenoptera,Vespidae,1,11504,57.52,200,other
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Tachytes amazonus,Hymenoptera,Crabronidae,1,11504,57.52,200,other
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Tachytes pubescens,Hymenoptera,Crabronidae,1,11504,57.52,200,other
4,february 2011,SC_C-leon,Baccharis pingraea,Asteraceae,Tricharaea occidua,Diptera,Sarcophagidae,4,11504,57.52,200,Fly
4,february 2011,SC_C-leon,Carduus acanthoides,Asteraceae,Apis mellifera,Hymenoptera,Apidae,1,153,0.765,200,bee
4,february 2011,SC_C-leon,Carduus acanthoides,Asteraceae,Chauliognatus scriptus,Coleoptera,Cantharidae,1,153,0.765,200,beetle
4,february 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Apis mellifera,Hymenoptera,Apidae,3,91,0.455,200,bee
4,february 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Chauliognatus scriptus,Coleoptera,Cantharidae,1,91,0.455,200,beetle
4,february 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Dialictus sp20,Hymenoptera,Halictidae,1,91,0.455,200,bee
4,february 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Pseudagapostemon pampeanus,Hymenoptera,Halictidae,1,91,0.455,200,bee
4,february 2011,SC_C-leon,Dipsacus sativus,Dipsacaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,SC_C-leon,Eryngium pandanifolium,Apiaceae,Apis mellifera,Hymenoptera,Apidae,1,346,1.73,200,bee
4,february 2011,SC_C-leon,Eryngium pandanifolium,Apiaceae,Blaesoxipha (Tephromyia) sp1,Diptera,Sarcophagidae,1,346,1.73,200,Fly
4,february 2011,SC_C-leon,Eryngium pandanifolium,Apiaceae,Lampyridae sp2,Coleoptera,Lampyridae,19,346,1.73,200,beetle
4,february 2011,SC_C-leon,Eryngium pandanifolium,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,2,346,1.73,200,Fly
4,february 2011,SC_C-leon,Eryngium pandanifolium,Apiaceae,Tricharaea occidua,Diptera,Sarcophagidae,1,346,1.73,200,Fly
4,february 2011,SC_C-leon,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,21,0.105,200,No visits
4,february 2011,SC_C-leon,Hirschfeldia incana,Brassicaceae,Dialictus sp17,Hymenoptera,Halictidae,1,60,0.3,200,bee
4,february 2011,SC_C-leon,Hirschfeldia incana,Brassicaceae,Dialictus sp21,Hymenoptera,Halictidae,1,60,0.3,200,bee
4,february 2011,SC_C-leon,Sonchus sp,Asteraceae,No visits,No visits,No visits,0,11,0.055,200,No visits
4,february 2011,SC_C-leon,Lactuca serriola,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
4,february 2011,SC_C-leon,Oxypetalum solanoides,Apocynaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
4,february 2011,SC_C-leon,Verbascum thapsus,Scrophulariaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
4,february 2011,SC_C-leon,Oenothera sp,Onagraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,SC_C-leon,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,27,0.135,200,No visits
5,March 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Apis mellifera,Hymenoptera,Apidae,12,34,0.17,200,bee
5,March 2011,SC_C-leon,Cirsium vulgare,Asteraceae,Colias lesbia,Lepidoptera,Pieridae,1,34,0.17,200,butterfly
5,March 2011,SC_C-leon,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,140,0.7,200,No visits
5,March 2011,SC_C-leon,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,55,0.275,200,No visits
1,November 2010,SC_C-vias,Glandularia peruviana,Verbenaceae,Ceratina montana,Hymenoptera,Apidae,1,308,1.54,200,bee
1,November 2010,SC_C-vias,Geranium sp,Geraniaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,SC_C-vias,Vicia linearifolia,Fabaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
1,November 2010,SC_C-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,SC_C-vias,Adesmia bicolor,Fabaceae,No visits,No visits,No visits,0,17,0.085,200,No visits
1,November 2010,SC_C-vias,Polygala linoides,Polygalaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,SC_C-vias,Sisyrinchium megapotamicum,Iridaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,SC_C-vias,Verbascum thapsus,Scrophulariaceae,No visits,No visits,No visits,0,5,0.025,200,No visits
2,December 2010,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,170,0.85,200,No visits
2,December 2010,SC_C-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Chauliognatus scriptus,Coleoptera,Cantharidae,3,166,0.83,200,beetle
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Cochliomyia macellaria,Diptera,Calliphoridae,1,166,0.83,200,Fly
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Coleoptera sp4,Coleoptera,Coleoptera,3,166,0.83,200,beetle
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Oxysarcodexia paulistanensis,Diptera,Sarcophagidae,1,166,0.83,200,Fly
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,5,166,0.83,200,Fly
3,January 2011,SC_C-vias,Eryngium horridum,Apiaceae,Pseudomops neglecta,Blattaria,Blattellidae,1,166,0.83,200,other
3,January 2011,SC_C-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,16,0.08,200,No visits
3,January 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
3,January 2011,SC_C-vias,Eryngium elegans,Apiaceae,No visits,No visits,No visits,0,57,0.285,200,No visits
3,January 2011,SC_C-vias,Verbascum thapsus,Scrophulariaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
3,January 2011,SC_C-vias,Dipsacus sativus,Dipsacaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
4,february 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,25,0.125,200,No visits
4,february 2011,SC_C-vias,Dipsacus sativus,Dipsacaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
4,february 2011,SC_C-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
4,february 2011,SC_C-vias,Diplotaxis tenuifolia,Brassicaceae,No visits,No visits,No visits,0,78,0.39,200,No visits
4,february 2011,SC_C-vias,Eryngium elegans,Apiaceae,No visits,No visits,No visits,0,8,0.04,200,No visits
4,february 2011,SC_C-vias,Baccharis pingraea,Asteraceae,Megachile (Pseudocentron) sp3,Hymenoptera,Megachilidae,1,37,0.185,200,bee
5,March 2011,SC_C-vias,Conyza bonariensis,Asteraceae,Dialictus sp14,Hymenoptera,Halictidae,1,602,3.01,200,bee
5,March 2011,SC_C-vias,Glandularia peruviana,Verbenaceae,No visits,No visits,No visits,0,13,0.065,200,No visits
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Bruchidius endotubercularis ,Coleoptera,Chrysomelidae,2,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Chauliognathus scriptus,Coleoptera,Cantharidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Curculionidae sp11,Coleoptera,Curculionidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Solidago chilensis,Asteraceae,Curculionidae sp12,Coleoptera,Curculionidae,1,193,0.965,200,beetle
5,March 2011,SC_C-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,28,0.14,200,No visits
5,March 2011,SC_C-vias,Verbena intermedia,Verbenaceae,No visits,No visits,No visits,0,21,0.105,200,No visits
1,November 2010,AN_A-alfa,Adesmia sp,Fabaceae,Psaenythia sp3,Hymenoptera,Andrenidae,2,28,0.14,200,bee
1,November 2010,AN_A-alfa,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,33,0.165,200,No visits
1,November 2010,AN_A-alfa,Gaillardia megapotamica,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Apis mellifera,Hymenoptera,Apidae,13,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Astylus quadrilineatus,Coleoptera,Melyridae,1,4874,24.37,200,beetle
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Augochloropsis sp9,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Bombyliidae sp2,Diptera,Bombyliidae,1,4874,24.37,200,Fly
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Coleoptera sp1,Coleoptera,Coleoptera,1,4874,24.37,200,beetle
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Dialictus sp7,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Hemipenthes sp4,Diptera,Bombyliidae,1,4874,24.37,200,Fly
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Isepeolus viperinus,Hymenoptera,Apidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,Pseudagapostemon sp1,Hymenoptera,Halictidae,1,4874,24.37,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Apis mellifera,Hymenoptera,Apidae,78,9840,49.2,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Psaenythia sp3,Hymenoptera,Andrenidae,1,9840,49.2,200,bee
1,November 2010,AN_A-alfa,Medicago sativa,Fabaceae,Vanessa carye,Lepidoptera,Nymphalidae,1,9840,49.2,200,butterfly
1,November 2010,AN_A-alfa,Pfaffia gnaphaloides,Amaranthaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,AN_A-alfa,Physalis viscosa,Solanaceae,No visits,No visits,No visits,0,4,0.02,200,No visits
1,November 2010,AN_A-alfa,Solanum elaeagnifolium,Solanaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
2,December 2010,AN_A-alfa,Carduus thoermeri,Asteraceae,Apis mellifera,Hymenoptera,Apidae,11,27,0.135,200,bee
2,December 2010,AN_A-alfa,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,41,0.205,200,No visits
2,December 2010,AN_A-alfa,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,71,0.355,200,No visits
