individual,plant,grain,fragment,insect,treatment,site,date,
SSS281,Asteraceae,1,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS281,Grupo Baccharis spp.,1,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS280,Grupo Conium-Ammi,1138,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS280,Eucaliptus sp.,14,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS280,Hirschfeldia incana,42,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS280,indeterminate,2,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS256,Grupo Crepis-Hypochoeris,4,A-v’as,Dialictus sp.20,a,sc,Dic.10,
SSS256,Solanum sp.,6,A-v’as,Dialictus sp.20,a,sc,Dic.11,
SSS256,Hirschfeldia incana,8904,A-v’as,Dialictus sp.20,a,sc,Dic.12,
SSS257,Hirschfeldia incana,380,A-v’as,Allograpta exotica,a,sc,Dic.10,
SSS257,Eucaliptus sp.,5,A-v’as,Allograpta exotica,a,sc,Dic.10,
SSS257,indeterminate,2,A-v’as,Allograpta exotica,a,sc,Dic.10,
SSS257,indeterminate,1,A-v’as,Allograpta exotica,a,sc,Dic.10,
SSS257,Grupo Conium-Ammi,29,A-v’as,Allograpta exotica,a,sc,Dic.10,
SSS279,Grupo Conium-Ammi,731,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS279,Eucaliptus sp.,12,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS279,Geranium sp.,4,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS287,Grupo Conium-Ammi,87,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,Grupo Carduus-Cirsium,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,Grupo Lactuca-Sonchus,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,Hirschfeldia incana,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,Eucaliptus sp.,89,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS287,Chenopodeaceae,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Grupo Conium-Ammi,945,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Grupo Carduus-Cirsium,108,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Eucaliptus sp.,25,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Hirschfeldia incana,5,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Grupo Lactuca-Sonchus,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS286,Totora,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS321,Physalis sp.,20593,C-leon,Colletes sp4,c,sc,Dic.10,
SSS321,Grupo Conium-Ammi,1,C-leon,Colletes sp4,c,sc,Dic.10,
SSS321,Hirschfeldia incana,2,C-leon,Colletes sp4,c,sc,Dic.10,
SSS321,indeterminate,2,C-leon,Colletes sp4,c,sc,Dic.10,
SSS321,Eucaliptus sp.,1799,C-leon,Colletes sp4,c,sc,Dic.10,
SSS301,Grupo Conium-Ammi,4076,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS301,Hirschfeldia incana,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS301,Verbena sp.,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS301,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS301,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS301,Geranium sp.,3,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS283,Grupo Conium-Ammi,782,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS283,Grupo Carduus-Cirsium,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS283,Eucaliptus sp.,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS283,Hirschfeldia incana,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS283,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS322,Grupo Conium-Ammi,3846,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS322,Eucaliptus sp.,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS322,Grupo Carduus-Cirsium,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS322,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS327,Grupo Conium-Ammi,2814,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS327,Grupo Lactuca-Sonchus,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS327,Totora,4,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS327,Eucaliptus sp.,3,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS288,Grupo Conium-Ammi,3530,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS288,Grupo Lactuca-Sonchus,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS288,Geranium sp.,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS288,indeterminate,2,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS288,indeterminate,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS315,Grupo Conium-Ammi,376,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS315,Verbena sp.,3,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS315,Totora,6,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS315,Geranium sp.,1,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS315,Eucaliptus sp.,1,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS315,Grupo Carduus-Cirsium,2,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS335,Grupo Conium-Ammi,359,C-leon,Ligaeidae sp1,c,sc,Dic.10,
SSS335,Hirschfeldia incana,1,C-leon,Ligaeidae sp1,c,sc,Dic.10,
SSS316,Grupo Conium-Ammi,36,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS316,Eucaliptus sp.,16,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS316,Hirschfeldia incana,5,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS316,Grupo Carduus-Cirsium,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS316,Verbena sp.,1,C-leon,Cochliomyia macellaria,c,sc,Dic.10,
SSS272,Grupo Conium-Ammi,329,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS272,Verbena sp.,1,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS272,Hirschfeldia incana,2,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS325,Grupo Conium-Ammi,1157,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS325,Totora,1,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS325,indeterminate,2,C-leon,Blaesoxipha (Tephromyia) sp.2,c,sc,Dic.10,
SSS284,Grupo Conium-Ammi,269,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS284,Totora,1,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS284,Verbena sp.,2,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS329,Grupo Conium-Ammi,453,C-leon,Diabrotica speciosa,c,sc,Dic.10,
SSS329,Hirschfeldia incana,1,C-leon,Diabrotica speciosa,c,sc,Dic.10,
SSS323,Grupo Conium-Ammi,580,C-leon,Phaenicia cluvia,c,sc,Dic.10,
SSS323,Totora,1,C-leon,Phaenicia cluvia,c,sc,Dic.10,
SSS323,indeterminate,1,C-leon,Phaenicia cluvia,c,sc,Dic.10,
SSS323,Verbena sp.,1,C-leon,Phaenicia cluvia,c,sc,Dic.10,
SSS323,Eucaliptus sp.,4,C-leon,Phaenicia cluvia,c,sc,Dic.10,
SSS292,Grupo Conium-Ammi,1281,C-leon,Palpada elegans,c,sc,Dic.10,
SSS292,Eucaliptus sp.,1,C-leon,Palpada elegans,c,sc,Dic.10,
SSS292,Verbena sp.,1,C-leon,Palpada elegans,c,sc,Dic.10,
SSS292,Hirschfeldia incana,1,C-leon,Palpada elegans,c,sc,Dic.10,
SSS326,Grupo Conium-Ammi,281,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,c,sc,Dic.10,
SSS326,indeterminate,1,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,c,sc,Dic.10,
SSS326,Poaceae,18,C-leon,Blaesoxipha (Acanthodotheca) sp1 ,c,sc,Dic.10,
SSS300,Grupo Conium-Ammi,1345,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS300,Poaceae,2,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS300,indeterminate,2,C-leon,Limnophora sp.,c,sc,Dic.10,
SSS334,Grupo Conium-Ammi,3008,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS334,Poaceae,2,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS334,Totora,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS334,Eucaliptus sp.,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS291,Grupo Conium-Ammi,1278,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS291,indeterminate,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS291,Eucaliptus sp.,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS263,Grupo Conium-Ammi,34,C-leon,Oxysarcodexia varia,c,sc,Dic.10,
SSS263,Poaceae,3,C-leon,Oxysarcodexia varia,c,sc,Dic.10,
SSS324,Grupo Conium-Ammi,2842,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS324,Poaceae,16,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS324,Totora,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS324,Hirschfeldia incana,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS324,Grupo Carduus-Cirsium,1,C-leon,Oxysarcodexia paulistanensis,c,sc,Dic.10,
SSS296,Grupo Conium-Ammi,5274,C-leon,Oxysarcodexia varia,c,sc,Dic.10,
SSS296,Totora,2,C-leon,Oxysarcodexia varia,c,sc,Dic.10,
SSS296,Poaceae,10,C-leon,Oxysarcodexia varia,c,sc,Dic.10,
SSS331,Grupo Conium-Ammi,1493,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS331,Totora,1,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS333,Grupo Conium-Ammi,3542,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS333,Hirschfeldia incana,2,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS332,Grupo Conium-Ammi,6204,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS332,Eucaliptus sp.,1,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS289,Grupo Conium-Ammi,7324,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS330,Grupo Conium-Ammi,4406,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS290,Grupo Conium-Ammi,5395,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS290,Totora,1,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS290,Hirschfeldia incana,1,C-leon,Polybia scutellaris,c,sc,Dic.10,
SSS328,Grupo Conium-Ammi,1409,C-leon,Syrphus sp.,c,sc,Dic.10,
SSS328,Totora,1,C-leon,Syrphus sp.,c,sc,Dic.10,
SSS328,Poaceae,1,C-leon,Syrphus sp.,c,sc,Dic.10,
SSS328,Hirschfeldia incana,5,C-leon,Syrphus sp.,c,sc,Dic.10,
SSS328,indeterminate,1,C-leon,Syrphus sp.,c,sc,Dic.10,
SSS282,Grupo Conium-Ammi,904,C-leon,Sphiximorpha sp. 1,c,sc,Dic.10,
SSS282,Eucaliptus sp.,50,C-leon,Sphiximorpha sp. 1,c,sc,Dic.10,
SSS282,Poaceae,2,C-leon,Sphiximorpha sp. 1,c,sc,Dic.10,
SSS282,Grupo Carduus-Cirsium,1,C-leon,Sphiximorpha sp. 1,c,sc,Dic.10,
SSS264,Grupo Conium-Ammi,527,C-leon,Toxomerus sp.,c,sc,Dic.10,
SSS264,Geranium sp.,1,C-leon,Toxomerus sp.,c,sc,Dic.10,
SSS285,Grupo Conium-Ammi,107,C-leon,Tachinidae sp43,c,sc,Dic.10,
SSS258,Hirschfeldia incana,13,A-v’as,Toxomerus sp.,a,sc,Dic.10,
SSS258,Eucaliptus sp.,1,A-v’as,Toxomerus sp.,a,sc,Dic.10,
SSS258,Grupo Crepis-Hypochoeris,1,A-v’as,Toxomerus sp.,a,sc,Dic.10,
SSS258,Grupo Conium-Ammi,1,A-v’as,Toxomerus sp.,a,sc,Dic.10,
SSS295,Grupo Conium-Ammi,390,C-leon,Tachinidae sp47,c,sc,Dic.10,
SSS295,Hirschfeldia incana,7,C-leon,Tachinidae sp47,c,sc,Dic.10,
SSS295,Eucaliptus sp.,3,C-leon,Tachinidae sp47,c,sc,Dic.10,
SSS295,Grupo Lactuca-Sonchus,5,C-leon,Tachinidae sp47,c,sc,Dic.10,
SSS457,Grupo Eryngium spp.,3790,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS457,Grupo Carduus-Cirsium,37,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS457,Hirschfeldia incana,7,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS457,indeterminate,2,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS457,Grupo Conium-Ammi,2,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS457,Eucaliptus sp.,4,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS458,Grupo Eryngium spp.,257,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS458,indeterminate,2,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS445,Grupo Eryngium spp.,58,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS445,Grupo Conium-Ammi,502,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS445,Grupo Carduus-Cirsium,5,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS445,Hirschfeldia incana,5,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS445,Eucaliptus sp.,5,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS445,Grupo Baccharis spp.,1,C-v’as,Cochliomyia macellaria,c,sc,Ene.11,
SSS453,Grupo Eryngium spp.,10,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS453,Verbena sp.,3,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS452,Grupo Eryngium spp.,120,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS452,indeterminate,1,C-v’as,Coleoptera sp4,c,sc,Ene.11,
SSS405,Grupo Carduus-Cirsium,383,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS405,Hirschfeldia incana,7,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS405,indeterminate,2,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS405,Grupo Eryngium spp.,18,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS405,Glycine max,19,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS448,Grupo Eryngium spp.,2516,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS448,Grupo Conium-Ammi,5,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS449,Grupo Eryngium spp.,2400,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS449,Hirschfeldia incana,1,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS449,Grupo Conium-Ammi,1,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS449,Verbena sp.,1,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS449,Chenopodeaceae,1,C-v’as,Chauliognathus scriptus,c,sc,Ene.11,
SSS403,Grupo Carduus-Cirsium,396,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS403,Grupo Conium-Ammi,16,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS403,Glycine max,152,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS403,Asteraceae,1,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS403,Hirschfeldia incana,18,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS404,Grupo Carduus-Cirsium,283,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS404,Grupo Conium-Ammi,359,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS404,Glycine max,573,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS404,Malvaceae,1,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS404,Hirschfeldia incana,5,A-leon,Chauliognathus scriptus,a,sc,Ene.11,
SSS410,Hirschfeldia incana,35,A-leon,Toxomerus sp.,a,sc,Ene.11,
SSS410,Grupo Carduus-Cirsium,1,A-leon,Toxomerus sp.,a,sc,Ene.11,
SSS407,Hirschfeldia incana,60,A-leon,Oxysarcodexia varia,a,sc,Ene.11,
SSS407,Glycine max,19,A-leon,Oxysarcodexia varia,a,sc,Ene.11,
