day,analyst,sitecode,habitat,river,code,stigmaspecies,stigmatype,pollenfamily,pollenspecies,origin,origin2,quantity,nstigmas,meanpollen,,,,,,
10/11/13,Carine,1,invaded,frome,9,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,2,3,0.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,10,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,199,3,66.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,10,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,2,3,0.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,10,Circaea lutetiana,wet,Asteraceae,ni,heterospecific,heterospecific,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,11,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,214,3,71.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,11,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,10,3,3.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,11,Circaea lutetiana,wet,Fabaceae,ni,heterospecific,heterospecific,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,12,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,27,3,9,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,400,3,133.3333333,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,9,3,3,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,Brassicaceae,Brassica sp1,heterospecific,heterospecific,13,3,4.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,Asteraceae,Asteraceae 1,heterospecific,heterospecific,2,3,0.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,Asteraceae,Asteraceae 2,heterospecific,heterospecific,1,3,0.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,13,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,14,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,249,3,83,,,,,,
10/11/13,Carine,1,invaded,frome,14,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,2,3,0.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,15,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,90,3,30,,,,,,
10/11/13,Carine,1,invaded,frome,15,Circaea lutetiana,wet,Convolvulaceae,Calystegia sepium,heterospecific,heterospecific,1,3,0.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,15,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1,3,0.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,15,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,4,3,1.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,16,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,123,3,41,,,,,,
10/11/13,Carine,1,invaded,frome,16,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,16,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,17,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,64,3,21.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,17,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,7,3,2.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,18,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,149,3,49.66666667,,,,,,
10/11/13,Carine,1,invaded,frome,18,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,6,3,2,,,,,,
10/11/13,Carine,1,invaded,frome,19,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,172,3,57.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,19,Circaea lutetiana,wet,Asteraceae,Asteraceae 1,heterospecific,heterospecific,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,19,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,20,3,6.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,20,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,92,3,30.66666667,,,,,,
10/11/13,Carine,1,invaded,frome,20,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,9,3,3,,,,,,
10/11/13,Carine,1,invaded,frome,20,Circaea lutetiana,wet,Convolvulaceae,Calystegia sepium,heterospecific,heterospecific,1,3,0.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,20,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,21,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,165,3,55,,,,,,
10/11/13,Carine,1,invaded,frome,21,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,21,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,22,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,116,3,38.66666667,,,,,,
10/11/13,Carine,1,invaded,frome,22,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,160,3,53.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,23,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,73,3,24.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,23,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,24,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,43,3,14.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,24,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,27,3,9,,,,,,
10/11/13,Carine,1,invaded,frome,25,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,14,3,4.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,25,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,5,3,1.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,26,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,130,3,43.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,26,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,7,3,2.333333333,,,,,,
10/11/13,Carine,1,invaded,frome,27,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,71,3,23.66666667,,,,,,
10/11/13,Carine,1,invaded,frome,28,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,102,3,34,,,,,,
14/10/13,Carine,1,invaded,frome,29,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,125,3,41.66666667,,,,,,
14/10/13,Carine,1,invaded,frome,29,Circaea lutetiana,wet,Brassicaceae,Brassica sp1,heterospecific,heterospecific,2,3,0.666666667,,,,,,
14/10/13,Carine,1,invaded,frome,29,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,3,3,1,,,,,,
14/10/13,Carine,1,invaded,frome,29,Circaea lutetiana,wet,Asteraceae,Asteraceae 1,heterospecific,heterospecific,3,3,1,,,,,,
14/10/13,Carine,1,invaded,frome,29,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,120,3,40,,,,,,
15/10/13,Carine,1,invaded,frome,30,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,181,3,60.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,30,Circaea lutetiana,wet,Rosaceae,Rubus,heterospecific,heterospecific,37,3,12.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,30,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,7,3,2.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,30,Circaea lutetiana,wet,Apiaceae,Heracleum sphondylium,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,138,3,46,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,Brassicaceae,Pseudobrassica,heterospecific,heterospecific,107,3,35.66666667,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,8,3,2.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,ni,M2,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,14,3,4.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,31,Circaea lutetiana,wet,Asteraceae,Asteraceae 2,heterospecific,heterospecific,3,3,1,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,166,3,55.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,Asteraceae,Bellis,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,Apiaceae,Heracleum sphondylium,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,32,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,3,3,1,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,Convolvulaceae,Calystegia sepium,conspecific,conspecific,279,1,279,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1974,1,1974,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,ni,M1,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,ni,M2,heterospecific,heterospecific,6,1,6,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,Asteraceae,Sonchus type,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,Geraniaceae,Geranium,heterospecific,heterospecific,8,1,8,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,Asteraceae,Asteraceae 1,heterospecific,heterospecific,3,1,3,,,,,,
15/10/13,Carine,1,invaded,frome,33,Calystegia sepium,dry,ni,ni,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,Convolvulaceae,Calystegia sepium,conspecific,conspecific,243,1,243,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1655,1,1655,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,ni,M2,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,Apiaceae,Heracleum sphondylium,heterospecific,heterospecific,3,1,3,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,Onagraceae,Epilobium montanum,heterospecific,heterospecific,7,1,7,,,,,,
15/10/13,Carine,1,invaded,frome,34,Calystegia sepium,dry,ni,M4,heterospecific,heterospecific,2,1,2,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,Convolvulaceae,Calystegia sepium,conspecific,conspecific,203,1,203,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,2519,1,2519,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,ni,M1,heterospecific,heterospecific,5,1,5,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,Onagraceae,Epilobium montanum,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,ni,M4,heterospecific,heterospecific,5,1,5,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,ni,M2,heterospecific,heterospecific,2,1,2,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,Asteraceae,Asteraceae 1,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,ni,M5,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,35,Calystegia sepium,dry,Asteraceae,Bellis,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,Convolvulaceae,Calystegia sepium,conspecific,conspecific,238,1,238,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1169,1,1169,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,Asteraceae,Asteraceae 1,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,ni,M2,heterospecific,heterospecific,2,1,2,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,ni,M1,heterospecific,heterospecific,5,1,5,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,ni,M4,heterospecific,heterospecific,7,1,7,,,,,,
15/10/13,Carine,1,invaded,frome,36,Calystegia sepium,dry,Apiaceae,Heracleum sphondylium,heterospecific,heterospecific,1,1,1,,,,,,
15/10/13,Carine,1,invaded,frome,37,Rubus fruticosus,dry,Rosaceae,Rubus fruticosus,conspecific,conspecific,9,3,3,,,,,,
15/10/13,Carine,1,invaded,frome,37,Rubus fruticosus,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,20,4,5,,,,,,
15/10/13,Carine,1,invaded,frome,37,Rubus fruticosus,dry,ni,ni,heterospecific,heterospecific,4,4,1,,,,,,
15/10/13,Carine,1,invaded,frome,37,Rubus fruticosus,dry,Onagraceae,Circaea lutetiana,heterospecific,heterospecific,1,4,0.25,,,,,,
15/10/13,Carine,1,invaded,frome,38,Rubus fruticosus,dry,Rosaceae,Rubus fruticosus,conspecific,conspecific,1,4,0.25,,,,,,
15/10/13,Carine,1,invaded,frome,38,Rubus fruticosus,dry,Caryophyllaceae,Silene dioica,heterospecific,heterospecific,1,4,0.25,,,,,,
15/10/13,Carine,1,invaded,frome,38,Rubus fruticosus,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,17,4,4.25,,,,,,
15/10/13,Carine,1,invaded,frome,38,Rubus fruticosus,dry,Onagraceae,Circaea lutetiana,heterospecific,heterospecific,2,4,0.5,,,,,,
15/10/13,Carine,1,invaded,frome,39,Rubus fruticosus,dry,Rosaceae,Rubus fruticosus,conspecific,conspecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,39,Rubus fruticosus,dry,Onagraceae,Circaea lutetiana,heterospecific,heterospecific,4,3,1.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,39,Rubus fruticosus,dry,ni,M1,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,40,Rubus fruticosus,dry,ni,ni,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,41,Rubus fruticosus,dry,Rosaceae,Rubus fruticosus,conspecific,conspecific,5,3,1.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,41,Rubus fruticosus,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,3,3,1,,,,,,
15/10/13,Carine,1,invaded,frome,42,Rubus fruticosus,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,43,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,223,3,74.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,43,Geum urbanum,dry,Onagraceae,Circaea lutetiana,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,44,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,108,3,36,,,,,,
15/10/13,Carine,1,invaded,frome,45,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,97,3,32.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,45,Geum urbanum,dry,Onagraceae,Circaea lutetiana,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,46,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,396,3,132,,,,,,
15/10/13,Carine,1,invaded,frome,47,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,173,3,57.66666667,,,,,,
15/10/13,Carine,1,invaded,frome,47,Geum urbanum,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,48,Geum urbanum,dry,Rosaceae,Geum urbanum,conspecific,conspecific,408,3,136,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Onagraceae,Epilobium hirsutum,conspecific,conspecific,939,3,313,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,570,3,190,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Caryophyllaceae,Silene dioica,heterospecific,heterospecific,3,3,1,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Asteraceae,Bellis,heterospecific,heterospecific,110,3,36.66666667,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Convolvulaceae,Calystegia sepium,heterospecific,heterospecific,15,3,5,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,Rosaceae,ni,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,ni,Pseudobrassica,heterospecific,heterospecific,2,3,0.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,49,Epilobium hirsutum,dry,ni,M1,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Onagraceae,Epilobium hirsutum,conspecific,conspecific,498,2,249,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,162,2,81,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,ni,M1,heterospecific,heterospecific,6,2,3,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Asteraceae,Cirsium type,heterospecific,heterospecific,5,2,2.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Asteraceae,Sonchus type,heterospecific,heterospecific,4,2,2,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Convolvulaceae,Calystegia sepium,heterospecific,heterospecific,17,2,8.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,ni,M2,heterospecific,heterospecific,3,2,1.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Caryophyllaceae,Silene dioica,heterospecific,heterospecific,1,2,0.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Asteraceae,Senecio type,heterospecific,heterospecific,1,2,0.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,ni,M4,heterospecific,heterospecific,2,2,1,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Asteraceae,Cirsium type,heterospecific,heterospecific,5,2,2.5,,,,,,
15/10/13,Carine,1,invaded,frome,50,Epilobium hirsutum,dry,Asteraceae,Sonchus type,heterospecific,heterospecific,4,2,2,,,,,,
15/10/13,Carine,1,invaded,frome,51,Epilobium montanum,dry,Onagraceae,Epilobium montanum,conspecific,conspecific,1333,3,444.3333333,,,,,,
15/10/13,Carine,1,invaded,frome,52,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,51,3,17,,,,,,
15/10/13,Carine,1,invaded,frome,52,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,52,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,4,3,1.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,53,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,78,3,26,,,,,,
15/10/13,Carine,1,invaded,frome,53,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,76,3,25.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,53,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,6,3,2,,,,,,
15/10/13,Carine,1,invaded,frome,54,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,256,4,64,,,,,,
15/10/13,Carine,1,invaded,frome,54,Circaea lutetiana,wet,Asteraceae,Asteraceae 1,heterospecific,heterospecific,1,4,0.25,,,,,,
15/10/13,Carine,1,invaded,frome,54,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,1,4,0.25,,,,,,
15/10/13,Carine,1,invaded,frome,54,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,2,4,0.5,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,119,3,39.66666667,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,Caryophyllaceae,Silene dioica,heterospecific,heterospecific,56,3,18.66666667,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,Fabaceae,ni,heterospecific,heterospecific,20,3,6.666666667,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,Asteraceae,Sonchus type,heterospecific,heterospecific,1,3,0.333333333,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,ni,M4,heterospecific,heterospecific,4,3,1.333333333,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,Geraniaceae,ni,heterospecific,heterospecific,3,3,1,,,,,,
17/10/13,Carine,1,invaded,frome,55,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,30,3,10,,,,,,
15/10/13,Carine,1,invaded,frome,56,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,153,3,51,,,,,,
15/10/13,Carine,1,invaded,frome,56,Circaea lutetiana,wet,Asteraceae,Asteraceae 1,heterospecific,heterospecific,11,3,3.666666667,,,,,,
15/10/13,Carine,1,invaded,frome,57,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,100,3,33.33333333,,,,,,
15/10/13,Carine,1,invaded,frome,57,Circaea lutetiana,wet,Convolvulaceae,Calystegia sepium,heterospecific,heterospecific,1,3,0.333333333,,,,,,
15/10/13,Carine,1,invaded,frome,57,Circaea lutetiana,wet,ni,M1,heterospecific,heterospecific,3,3,1,,,,,,
15/10/13,Carine,1,invaded,frome,57,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,10,3,3.333333333,,,,,,
17/10/13,Carine,1,invaded,frome,58,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,106,3,35.33333333,,,,,,
17/10/13,Carine,1,invaded,frome,59,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,136,3,45.33333333,,,,,,
